Data supplied by UK-AIR on 19/3/2024
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Plymouth Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2023,01:00,26.900,R,ugm-3 (FIDAS),0.23864,R,ugm-3,3.80000,R,ugm-3,4.16591,R,ugm-3,76.63488,R,ugm-3,10.778,R,ugm-3 (Ref.eq)
01-01-2023,02:00,31.775,R,ugm-3 (FIDAS),0.28637,R,ugm-3,4.96928,R,ugm-3,5.40837,R,ugm-3,77.16707,R,ugm-3,12.689,R,ugm-3 (Ref.eq)
01-01-2023,03:00,29.900,R,ugm-3 (FIDAS),0.28637,R,ugm-3,4.60385,R,ugm-3,5.04294,R,ugm-3,76.53510,R,ugm-3,12.076,R,ugm-3 (Ref.eq)
01-01-2023,04:00,29.925,R,ugm-3 (FIDAS),0.17898,R,ugm-3,3.89147,R,ugm-3,4.16591,R,ugm-3,76.78456,R,ugm-3,12.076,R,ugm-3 (Ref.eq)
01-01-2023,05:00,31.100,R,ugm-3 (FIDAS),0.14318,R,ugm-3,3.61747,R,ugm-3,3.83702,R,ugm-3,76.48520,R,ugm-3,13.255,R,ugm-3 (Ref.eq)
01-01-2023,06:00,30.225,R,ugm-3 (FIDAS),0.10739,R,ugm-3,3.28866,R,ugm-3,3.45332,R,ugm-3,76.53510,R,ugm-3,13.231,R,ugm-3 (Ref.eq)
01-01-2023,07:00,28.600,R,ugm-3 (FIDAS),0.14318,R,ugm-3,2.68563,R,ugm-3,2.90517,R,ugm-3,77.73252,R,ugm-3,11.887,R,ugm-3 (Ref.eq)
01-01-2023,08:00,34.975,R,ugm-3 (FIDAS),0.03580,R,ugm-3,2.74066,R,ugm-3,2.79554,R,ugm-3,77.33338,R,ugm-3,13.844,R,ugm-3 (Ref.eq)
01-01-2023,09:00,34.000,R,ugm-3 (FIDAS),0.14318,R,ugm-3,2.74044,R,ugm-3,2.95999,R,ugm-3,76.93424,R,ugm-3,13.892,R,ugm-3 (Ref.eq)
01-01-2023,10:00,33.550,R,ugm-3 (FIDAS),0.14318,R,ugm-3,2.95970,R,ugm-3,3.17924,R,ugm-3,76.73467,R,ugm-3,13.609,R,ugm-3 (Ref.eq)
01-01-2023,11:00,32.850,R,ugm-3 (FIDAS),0.28637,R,ugm-3,5.80977,R,ugm-3,6.24886,R,ugm-3,72.99273,R,ugm-3,13.443,R,ugm-3 (Ref.eq)
01-01-2023,12:00,37.975,R,ugm-3 (FIDAS),0.39376,R,ugm-3,6.46733,R,ugm-3,7.07108,R,ugm-3,71.64563,R,ugm-3,15.071,R,ugm-3 (Ref.eq)
01-01-2023,13:00,35.450,R,ugm-3 (FIDAS),0.50114,R,ugm-3,6.52193,R,ugm-3,7.29033,R,ugm-3,71.64563,R,ugm-3,14.835,R,ugm-3 (Ref.eq)
01-01-2023,14:00,33.400,R,ugm-3 (FIDAS),0.35796,R,ugm-3,6.41258,R,ugm-3,6.96145,R,ugm-3,70.79746,R,ugm-3,14.269,R,ugm-3 (Ref.eq)
01-01-2023,15:00,30.325,R,ugm-3 (FIDAS),0.42955,R,ugm-3,9.15317,R,ugm-3,9.81180,R,ugm-3,66.85595,R,ugm-3,11.392,R,ugm-3 (Ref.eq)
01-01-2023,16:00,25.125,R,ugm-3 (FIDAS),0.25057,R,ugm-3,6.74169,R,ugm-3,7.12589,R,ugm-3,72.24434,R,ugm-3,8.986,R,ugm-3 (Ref.eq)
01-01-2023,17:00,15.150,R,ugm-3 (FIDAS),0.17898,R,ugm-3,5.48110,R,ugm-3,5.75553,R,ugm-3,75.08821,R,ugm-3,6.014,R,ugm-3 (Ref.eq)
01-01-2023,18:00,13.625,R,ugm-3 (FIDAS),0.17898,R,ugm-3,5.86480,R,ugm-3,6.13923,R,ugm-3,72.79316,R,ugm-3,5.849,R,ugm-3 (Ref.eq)
01-01-2023,19:00,11.525,R,ugm-3 (FIDAS),0.25057,R,ugm-3,10.57870,R,ugm-3,10.96291,R,ugm-3,65.00993,R,ugm-3,4.953,R,ugm-3 (Ref.eq)
01-01-2023,20:00,12.200,R,ugm-3 (FIDAS),0.28637,R,ugm-3,12.05862,R,ugm-3,12.49772,R,ugm-3,64.66068,R,ugm-3,4.906,R,ugm-3 (Ref.eq)
01-01-2023,21:00,13.800,R,ugm-3 (FIDAS),0.21478,R,ugm-3,7.39953,R,ugm-3,7.72885,R,ugm-3,68.75187,R,ugm-3,5.165,R,ugm-3 (Ref.eq)
01-01-2023,22:00,19.075,R,ugm-3 (FIDAS),0.14318,R,ugm-3,6.46783,R,ugm-3,6.68737,R,ugm-3,69.35058,R,ugm-3,7.476,R,ugm-3 (Ref.eq)
01-01-2023,23:00,19.000,R,ugm-3 (FIDAS),0.14318,R,ugm-3,6.19376,R,ugm-3,6.41330,R,ugm-3,71.09681,R,ugm-3,7.429,R,ugm-3 (Ref.eq)
01-01-2023,24:00,18.900,R,ugm-3 (FIDAS),0.14318,R,ugm-3,4.00117,R,ugm-3,4.22072,R,ugm-3,72.34413,R,ugm-3,6.792,R,ugm-3 (Ref.eq)
02-01-2023,01:00,25.900,R,ugm-3 (FIDAS),0.19102,R,ugm-3,3.72879,R,ugm-3,4.02167,R,ugm-3,68.98470,R,ugm-3,8.278,R,ugm-3 (Ref.eq)
02-01-2023,02:00,28.175,R,ugm-3 (FIDAS),0.19102,R,ugm-3,4.53312,R,ugm-3,4.82601,R,ugm-3,65.19287,R,ugm-3,8.373,R,ugm-3 (Ref.eq)
02-01-2023,03:00,16.950,R,ugm-3 (FIDAS),0.28652,R,ugm-3,4.55120,R,ugm-3,4.99053,R,ugm-3,62.91444,R,ugm-3,5.354,R,ugm-3 (Ref.eq)
02-01-2023,04:00,9.675,R,ugm-3 (FIDAS),0.25071,R,ugm-3,8.49983,R,ugm-3,8.88424,R,ugm-3,56.17896,R,ugm-3,3.750,R,ugm-3 (Ref.eq)
02-01-2023,05:00,8.050,R,ugm-3 (FIDAS),0.35815,R,ugm-3,19.90652,R,ugm-3,20.45568,R,ugm-3,37.07013,R,ugm-3,3.373,R,ugm-3 (Ref.eq)
02-01-2023,06:00,6.700,R,ugm-3 (FIDAS),2.07729,R,ugm-3,33.28412,R,ugm-3,36.46924,R,ugm-3,19.05894,R,ugm-3,3.137,R,ugm-3 (Ref.eq)
02-01-2023,07:00,6.675,R,ugm-3 (FIDAS),7.19888,R,ugm-3,48.35465,R,ugm-3,59.39277,R,ugm-3,7.18452,R,ugm-3,3.396,R,ugm-3 (Ref.eq)
02-01-2023,08:00,5.875,R,ugm-3 (FIDAS),31.87562,R,ugm-3,45.67057,R,ugm-3,94.54583,R,ugm-3,1.54667,R,ugm-3,3.396,R,ugm-3 (Ref.eq)
02-01-2023,09:00,8.550,R,ugm-3 (FIDAS),59.56085,R,ugm-3,41.44463,R,ugm-3,132.76999,R,ugm-3,0.89807,R,ugm-3,4.741,R,ugm-3 (Ref.eq)
02-01-2023,10:00,8.200,R,ugm-3 (FIDAS),32.66356,R,ugm-3,37.82666,R,ugm-3,87.91008,R,ugm-3,4.88947,R,ugm-3,4.599,R,ugm-3 (Ref.eq)
02-01-2023,11:00,9.175,R,ugm-3 (FIDAS),20.77288,R,ugm-3,36.42571,R,ugm-3,68.27701,R,ugm-3,10.87657,R,ugm-3,5.330,R,ugm-3 (Ref.eq)
02-01-2023,12:00,16.025,R,ugm-3 (FIDAS),14.32612,R,ugm-3,35.45208,R,ugm-3,57.41850,R,ugm-3,17.11313,R,ugm-3,9.811,R,ugm-3 (Ref.eq)
02-01-2023,13:00,14.925,R,ugm-3 (FIDAS),11.53253,R,ugm-3,34.25144,R,ugm-3,51.93440,R,ugm-3,22.00259,R,ugm-3,7.123,R,ugm-3 (Ref.eq)
02-01-2023,14:00,14.675,R,ugm-3 (FIDAS),4.08294,R,ugm-3,21.16006,R,ugm-3,27.42049,R,ugm-3,40.46282,R,ugm-3,6.415,R,ugm-3 (Ref.eq)
02-01-2023,15:00,13.800,R,ugm-3 (FIDAS),4.04713,R,ugm-3,25.32805,R,ugm-3,31.53356,R,ugm-3,43.35658,R,ugm-3,5.873,R,ugm-3 (Ref.eq)
02-01-2023,16:00,13.175,R,ugm-3 (FIDAS),12.35628,R,ugm-3,50.92137,R,ugm-3,69.86740,R,ugm-3,24.94625,R,ugm-3,5.519,R,ugm-3 (Ref.eq)
02-01-2023,17:00,16.775,R,ugm-3 (FIDAS),6.41094,R,ugm-3,46.65623,R,ugm-3,56.48620,R,ugm-3,26.24346,R,ugm-3,8.066,R,ugm-3 (Ref.eq)
02-01-2023,18:00,22.850,R,ugm-3 (FIDAS),13.14422,R,ugm-3,63.42346,R,ugm-3,83.57764,R,ugm-3,10.07829,R,ugm-3,13.821,R,ugm-3 (Ref.eq)
02-01-2023,19:00,22.075,R,ugm-3 (FIDAS),4.04713,R,ugm-3,40.40931,R,ugm-3,46.61483,R,ugm-3,29.48647,R,ugm-3,11.627,R,ugm-3 (Ref.eq)
02-01-2023,20:00,15.300,R,ugm-3 (FIDAS),4.40528,R,ugm-3,45.45393,R,ugm-3,52.20860,R,ugm-3,23.49937,R,ugm-3,10.991,R,ugm-3 (Ref.eq)
02-01-2023,21:00,15.225,R,ugm-3 (FIDAS),6.05279,R,ugm-3,44.46334,R,ugm-3,53.74415,R,ugm-3,19.15872,R,ugm-3,11.014,R,ugm-3 (Ref.eq)
02-01-2023,22:00,11.100,R,ugm-3 (FIDAS),1.21772,R,ugm-3,25.99207,R,ugm-3,27.85921,R,ugm-3,37.12002,R,ugm-3,7.618,R,ugm-3 (Ref.eq)
02-01-2023,23:00,9.500,R,ugm-3 (FIDAS),1.54006,R,ugm-3,31.85938,R,ugm-3,34.22077,R,ugm-3,34.72518,R,ugm-3,6.250,R,ugm-3 (Ref.eq)
02-01-2023,24:00,5.425,R,ugm-3 (FIDAS),0.57305,R,ugm-3,15.13491,R,ugm-3,16.01356,R,ugm-3,63.16391,R,ugm-3,2.123,R,ugm-3 (Ref.eq)
