Data supplied by UK-AIR on 19/3/2021
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Plymouth Tavistock Road,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit
 
01-01-2020,01:00,1.38019,R,ugm-3,10.80996,R,ugm-3,12.92622,R,ugm-3
01-01-2020,02:00,1.47538,R,ugm-3,8.87078,R,ugm-3,11.13299,R,ugm-3
01-01-2020,03:00,1.24931,R,ugm-3,6.32208,R,ugm-3,8.23767,R,ugm-3
01-01-2020,04:00,1.60626,R,ugm-3,7.56800,R,ugm-3,10.03090,R,ugm-3
01-01-2020,05:00,1.07084,R,ugm-3,6.87593,R,ugm-3,8.51786,R,ugm-3
01-01-2020,06:00,2.96266,R,ugm-3,10.75585,R,ugm-3,15.29852,R,ugm-3
01-01-2020,07:00,6.85337,R,ugm-3,15.77372,R,ugm-3,26.28208,R,ugm-3
01-01-2020,08:00,31.76823,R,ugm-3,28.62258,R,ugm-3,77.33319,R,ugm-3
01-01-2020,09:00,34.05269,R,ugm-3,30.94780,R,ugm-3,83.16120,R,ugm-3
01-01-2020,10:00,30.91156,R,ugm-3,25.00474,R,ugm-3,72.40180,R,ugm-3
01-01-2020,11:00,26.59251,R,ugm-3,26.13541,R,ugm-3,66.91002,R,ugm-3
01-01-2020,12:00,4.49753,R,ugm-3,13.44588,R,ugm-3,20.34199,R,ugm-3
01-01-2020,13:00,6.03239,R,ugm-3,18.04123,R,ugm-3,27.29077,R,ugm-3
01-01-2020,14:00,4.31905,R,ugm-3,16.80166,R,ugm-3,23.42411,R,ugm-3
01-01-2020,15:00,3.39099,R,ugm-3,16.54351,R,ugm-3,21.74295,R,ugm-3
01-01-2020,16:00,19.95331,R,ugm-3,36.81973,R,ugm-3,67.41437,R,ugm-3
01-01-2020,17:00,27.12793,R,ugm-3,39.04389,R,ugm-3,80.63947,R,ugm-3
01-01-2020,18:00,48.54471,R,ugm-3,54.11823,R,ugm-3,128.55242,R,ugm-3
01-01-2020,19:00,45.33220,R,ugm-3,54.89717,R,ugm-3,124.40557,R,ugm-3
01-01-2020,20:00,47.83082,R,ugm-3,51.00996,R,ugm-3,124.34953,R,ugm-3
01-01-2020,21:00,40.79898,R,ugm-3,50.80842,R,ugm-3,113.36597,R,ugm-3
01-01-2020,22:00,40.01370,R,ugm-3,48.03376,R,ugm-3,109.38724,R,ugm-3
01-01-2020,23:00,42.51232,R,ugm-3,53.95330,R,ugm-3,119.13794,R,ugm-3
01-01-2020,24:00,3.67655,R,ugm-3,31.85249,R,ugm-3,37.48979,R,ugm-3
02-01-2020,01:00,1.00147,R,ugm-3,20.58096,R,ugm-3,22.11652,R,ugm-3
02-01-2020,02:00,0.33382,R,ugm-3,8.48470,R,ugm-3,8.99655,R,ugm-3
02-01-2020,03:00,0.57227,R,ugm-3,9.13120,R,ugm-3,10.00866,R,ugm-3
02-01-2020,04:00,0.39343,R,ugm-3,4.00748,R,ugm-3,4.61073,R,ugm-3
02-01-2020,05:00,0.32190,R,ugm-3,2.93636,R,ugm-3,3.42994,R,ugm-3
02-01-2020,06:00,0.60803,R,ugm-3,5.53396,R,ugm-3,6.46627,R,ugm-3
02-01-2020,07:00,0.78687,R,ugm-3,8.46478,R,ugm-3,9.67129,R,ugm-3
02-01-2020,08:00,1.14454,R,ugm-3,12.52710,R,ugm-3,14.28202,R,ugm-3
02-01-2020,09:00,1.25183,R,ugm-3,12.08143,R,ugm-3,14.00088,R,ugm-3
02-01-2020,10:00,1.14454,R,ugm-3,12.86447,R,ugm-3,14.61939,R,ugm-3
02-01-2020,11:00,1.78834,R,ugm-3,13.95777,R,ugm-3,16.69985,R,ugm-3
02-01-2020,12:00,2.14600,R,ugm-3,14.98375,R,ugm-3,18.27424,R,ugm-3
02-01-2020,13:00,3.18324,R,ugm-3,16.48591,R,ugm-3,21.36681,R,ugm-3
02-01-2020,14:00,3.00440,R,ugm-3,14.17361,R,ugm-3,18.78030,R,ugm-3
02-01-2020,15:00,2.07447,R,ugm-3,11.26990,R,ugm-3,14.45071,R,ugm-3
02-01-2020,16:00,1.43067,R,ugm-3,12.20082,R,ugm-3,14.39448,R,ugm-3
02-01-2020,17:00,1.39490,R,ugm-3,13.77383,R,ugm-3,15.91265,R,ugm-3
02-01-2020,18:00,1.46643,R,ugm-3,14.22643,R,ugm-3,16.47493,R,ugm-3
02-01-2020,19:00,1.00147,R,ugm-3,11.05961,R,ugm-3,12.59517,R,ugm-3
02-01-2020,20:00,0.85840,R,ugm-3,8.58001,R,ugm-3,9.89620,R,ugm-3
02-01-2020,21:00,0.67957,R,ugm-3,6.60508,R,ugm-3,7.64707,R,ugm-3
02-01-2020,22:00,0.67957,R,ugm-3,6.04279,R,ugm-3,7.08478,R,ugm-3
02-01-2020,23:00,0.92993,R,ugm-3,4.64679,R,ugm-3,6.07267,R,ugm-3
02-01-2020,24:00,1.50220,R,ugm-3,5.73732,R,ugm-3,8.04067,R,ugm-3
03-01-2020,01:00,0.76456,R,ugm-3,6.95193,R,ugm-3,8.12424,R,ugm-3
03-01-2020,02:00,0.76456,R,ugm-3,5.74834,R,ugm-3,6.92065,R,ugm-3
03-01-2020,03:00,0.64510,R,ugm-3,7.02227,R,ugm-3,8.01140,R,ugm-3
03-01-2020,04:00,0.68094,R,ugm-3,1.83325,R,ugm-3,2.87734,R,ugm-3
03-01-2020,05:00,0.93181,R,ugm-3,6.01847,R,ugm-3,7.44722,R,ugm-3
03-01-2020,06:00,3.47636,R,ugm-3,6.91244,R,ugm-3,12.24278,R,ugm-3
03-01-2020,07:00,9.53311,R,ugm-3,17.31554,R,ugm-3,31.93277,R,ugm-3
