Data supplied by UK-AIR on 1/5/2025
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Plymouth Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2024,01:00,23.450,R,ugm-3 (FIDAS),0.08209,R,ugm-3,2.25249,R,ugm-3,2.37837,R,ugm-3,,,,11.297,R,ugm-3 (Ref.eq)
01-01-2024,02:00,19.325,R,ugm-3 (FIDAS),0.12314,R,ugm-3,3.50392,R,ugm-3,3.69272,R,ugm-3,70.24864,R,ugm-3,9.175,R,ugm-3 (Ref.eq)
01-01-2024,03:00,12.050,R,ugm-3 (FIDAS),0.12314,R,ugm-3,2.43991,R,ugm-3,2.62872,R,ugm-3,72.99273,R,ugm-3,5.849,R,ugm-3 (Ref.eq)
01-01-2024,04:00,12.500,R,ugm-3 (FIDAS),0.12314,R,ugm-3,2.86238,R,ugm-3,3.05119,R,ugm-3,71.19660,R,ugm-3,6.226,R,ugm-3 (Ref.eq)
01-01-2024,05:00,19.175,R,ugm-3 (FIDAS),0.12314,R,ugm-3,3.61345,R,ugm-3,3.80226,R,ugm-3,68.75187,R,ugm-3,7.594,R,ugm-3 (Ref.eq)
01-01-2024,06:00,13.650,R,ugm-3 (FIDAS),0.21549,R,ugm-3,7.60269,R,ugm-3,7.93310,R,ugm-3,66.75617,R,ugm-3,5.495,R,ugm-3 (Ref.eq)
01-01-2024,07:00,15.625,R,ugm-3 (FIDAS),0.24627,R,ugm-3,11.59245,R,ugm-3,11.97006,R,ugm-3,60.71917,R,ugm-3,6.061,R,ugm-3 (Ref.eq)
01-01-2024,08:00,23.050,R,ugm-3 (FIDAS),0.27706,R,ugm-3,4.59791,R,ugm-3,5.02273,R,ugm-3,63.11401,R,ugm-3,8.373,R,ugm-3 (Ref.eq)
01-01-2024,09:00,23.375,R,ugm-3 (FIDAS),0.43098,R,ugm-3,15.29925,R,ugm-3,15.96008,R,ugm-3,50.24175,R,ugm-3,8.939,R,ugm-3 (Ref.eq)
