Data supplied by UK-AIR on 17/3/2022
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Plymouth Tavistock Road,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit
 
01-01-2021,01:00,3.77991,R,ugm-3,13.15424,R,ugm-3,18.95002,R,ugm-3
01-01-2021,02:00,,,,,,,,,
01-01-2021,03:00,5.60072,R,ugm-3,9.28406,R,ugm-3,17.87170,R,ugm-3
01-01-2021,04:00,3.83753,R,ugm-3,11.24513,R,ugm-3,17.12926,R,ugm-3
01-01-2021,05:00,2.35092,R,ugm-3,7.16076,R,ugm-3,10.76545,R,ugm-3
01-01-2021,06:00,5.25500,R,ugm-3,9.28384,R,ugm-3,17.34139,R,ugm-3
01-01-2021,07:00,19.67166,R,ugm-3,25.83876,R,ugm-3,56.00154,R,ugm-3
01-01-2021,08:00,33.46601,R,ugm-3,51.62082,R,ugm-3,102.93466,R,ugm-3
01-01-2021,09:00,37.19983,R,ugm-3,52.10044,R,ugm-3,109.13937,R,ugm-3
01-01-2021,10:00,24.65007,R,ugm-3,48.22128,R,ugm-3,86.01752,R,ugm-3
01-01-2021,11:00,51.51277,R,ugm-3,58.36713,R,ugm-3,137.35227,R,ugm-3
01-01-2021,12:00,37.85670,R,ugm-3,44.14608,R,ugm-3,102.19221,R,ugm-3
01-01-2021,13:00,44.25258,R,ugm-3,46.43044,R,ugm-3,114.28346,R,ugm-3
01-01-2021,14:00,39.44703,R,ugm-3,43.29857,R,ugm-3,103.78317,R,ugm-3
01-01-2021,15:00,28.45303,R,ugm-3,37.61730,R,ugm-3,81.24467,R,ugm-3
01-01-2021,16:00,29.87049,R,ugm-3,41.54254,R,ugm-3,87.34332,R,ugm-3
01-01-2021,17:00,34.57233,R,ugm-3,38.15144,R,ugm-3,91.16161,R,ugm-3
01-01-2021,18:00,35.22920,R,ugm-3,36.82606,R,ugm-3,90.84342,R,ugm-3
01-01-2021,19:00,41.34851,R,ugm-3,43.45885,R,ugm-3,106.85901,R,ugm-3
01-01-2021,20:00,42.42025,R,ugm-3,40.86096,R,ugm-3,105.90444,R,ugm-3
01-01-2021,21:00,45.11689,R,ugm-3,38.47622,R,ugm-3,107.65448,R,ugm-3
01-01-2021,22:00,25.51438,R,ugm-3,25.84241,R,ugm-3,64.96391,R,ugm-3
01-01-2021,23:00,18.56534,R,ugm-3,22.39101,R,ugm-3,50.85746,R,ugm-3
01-01-2021,24:00,7.39848,R,ugm-3,13.36863,R,ugm-3,24.71280,R,ugm-3
02-01-2021,01:00,6.96686,R,ugm-3,10.05043,R,ugm-3,20.73279,R,ugm-3
02-01-2021,02:00,2.30691,R,ugm-3,6.22773,R,ugm-3,9.76493,R,ugm-3
02-01-2021,03:00,3.87560,R,ugm-3,9.12946,R,ugm-3,15.07196,R,ugm-3
02-01-2021,04:00,4.46386,R,ugm-3,12.89765,R,ugm-3,19.74215,R,ugm-3
02-01-2021,05:00,4.42926,R,ugm-3,8.38667,R,ugm-3,15.17810,R,ugm-3
02-01-2021,06:00,18.06307,R,ugm-3,23.62265,R,ugm-3,51.31897,R,ugm-3
02-01-2021,07:00,25.39903,R,ugm-3,26.11954,R,ugm-3,65.06418,R,ugm-3
02-01-2021,08:00,23.01139,R,ugm-3,29.93975,R,ugm-3,65.22339,R,ugm-3
02-01-2021,09:00,41.21288,R,ugm-3,46.02647,R,ugm-3,109.21866,R,ugm-3
02-01-2021,10:00,26.33333,R,ugm-3,35.19488,R,ugm-3,75.57210,R,ugm-3
02-01-2021,11:00,34.25755,R,ugm-3,38.48803,R,ugm-3,91.01555,R,ugm-3
02-01-2021,12:00,30.24354,R,ugm-3,36.68223,R,ugm-3,83.05501,R,ugm-3
02-01-2021,13:00,42.73543,R,ugm-3,44.48796,R,ugm-3,110.01471,R,ugm-3
02-01-2021,14:00,56.57687,R,ugm-3,58.45033,R,ugm-3,145.20032,R,ugm-3
02-01-2021,15:00,49.27551,R,ugm-3,68.21269,R,ugm-3,143.76742,R,ugm-3
02-01-2021,16:00,37.23346,R,ugm-3,60.03562,R,ugm-3,117.12613,R,ugm-3
02-01-2021,17:00,53.39334,R,ugm-3,78.24442,R,ugm-3,160.11307,R,ugm-3
02-01-2021,18:00,8.61629,R,ugm-3,24.20309,R,ugm-3,37.41456,R,ugm-3
02-01-2021,19:00,14.77573,R,ugm-3,38.58731,R,ugm-3,61.24312,R,ugm-3
02-01-2021,20:00,39.03285,R,ugm-3,59.71783,R,ugm-3,119.56737,R,ugm-3
02-01-2021,21:00,8.09724,R,ugm-3,22.29238,R,ugm-3,34.70797,R,ugm-3
02-01-2021,22:00,2.14542,R,ugm-3,9.97797,R,ugm-3,13.26757,R,ugm-3
