Data supplied by UK-AIR on 22/10/2025
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Plymouth Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit
 
01-01-2025,01:00,22.650,R,ugm-3 (FIDAS),0.23260,R,ugm-3,2.43460,R,ugm-3,2.79125,R,ugm-3,77.43316,R,ugm-3,9.906,R,ugm-3 (Ref.eq)
01-01-2025,02:00,24.525,R,ugm-3 (FIDAS),0.23260,R,ugm-3,3.38482,R,ugm-3,3.74147,R,ugm-3,79.09624,R,ugm-3,10.401,R,ugm-3 (Ref.eq)
01-01-2025,03:00,21.150,R,ugm-3 (FIDAS),0.23260,R,ugm-3,2.27128,R,ugm-3,2.62794,R,ugm-3,78.73037,R,ugm-3,9.363,R,ugm-3 (Ref.eq)
01-01-2025,04:00,18.750,R,ugm-3 (FIDAS),0.23260,R,ugm-3,2.09312,R,ugm-3,2.44977,R,ugm-3,78.58069,R,ugm-3,8.656,R,ugm-3 (Ref.eq)
01-01-2025,05:00,23.850,R,ugm-3 (FIDAS),0.17445,R,ugm-3,1.64779,R,ugm-3,1.91528,R,ugm-3,82.97123,R,ugm-3,10.448,R,ugm-3 (Ref.eq)
01-01-2025,06:00,28.150,R,ugm-3 (FIDAS),0.14538,R,ugm-3,1.60329,R,ugm-3,1.82619,R,ugm-3,85.01682,R,ugm-3,12.311,R,ugm-3 (Ref.eq)
01-01-2025,07:00,27.875,R,ugm-3 (FIDAS),0.17445,R,ugm-3,1.60325,R,ugm-3,1.87074,R,ugm-3,85.26628,R,ugm-3,12.712,R,ugm-3 (Ref.eq)
01-01-2025,08:00,26.700,R,ugm-3 (FIDAS),0.17445,R,ugm-3,1.64779,R,ugm-3,1.91528,R,ugm-3,83.76951,R,ugm-3,12.500,R,ugm-3 (Ref.eq)
01-01-2025,09:00,29.000,R,ugm-3 (FIDAS),0.11630,R,ugm-3,1.51424,R,ugm-3,1.69257,R,ugm-3,83.22069,R,ugm-3,13.137,R,ugm-3 (Ref.eq)
01-01-2025,10:00,26.650,R,ugm-3 (FIDAS),0.14538,R,ugm-3,1.82599,R,ugm-3,2.04890,R,ugm-3,83.22069,R,ugm-3,12.288,R,ugm-3 (Ref.eq)
01-01-2025,11:00,13.275,R,ugm-3 (FIDAS),0.17445,R,ugm-3,3.29581,R,ugm-3,3.56330,R,ugm-3,78.38112,R,ugm-3,6.533,R,ugm-3 (Ref.eq)
01-01-2025,12:00,1.725,R,ugm-3 (FIDAS),0.43613,R,ugm-3,5.83431,R,ugm-3,6.50303,R,ugm-3,68.75187,R,ugm-3,0.896,R,ugm-3 (Ref.eq)
01-01-2025,13:00,2.625,R,ugm-3 (FIDAS),0.29075,R,ugm-3,5.03276,R,ugm-3,5.47858,R,ugm-3,77.23359,R,ugm-3,1.226,R,ugm-3 (Ref.eq)
01-01-2025,14:00,4.225,R,ugm-3 (FIDAS),0.37798,R,ugm-3,6.41342,R,ugm-3,6.99298,R,ugm-3,74.28993,R,ugm-3,2.547,R,ugm-3 (Ref.eq)
01-01-2025,15:00,3.875,R,ugm-3 (FIDAS),0.31983,R,ugm-3,6.81438,R,ugm-3,7.30477,R,ugm-3,75.28778,R,ugm-3,2.453,R,ugm-3 (Ref.eq)
